"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1000075","19988953"
"2","Total No. of patients tested Positive","5639","764664"
"3","No. of patients discharged","4431","745681"
"4","Total Deaths reported","38","17784"
"5","Sample collected on the day","","11466"
"6","Test conducted on the day","","11027"
"7","Positive cases on the day","","157"
"8","Number of active Cases","","1199"
"9","No. of Patients on oxygen support","","38"
"10","Patients at critical care Level-3 facilities","","6"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218738"
"14","Frontline Workers vaccinated with 1st dose on the day","","0"
"15","Total Frontline Workers vaccinated with 1st dose","","1117565"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","8"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211024"
"18","Frontline Workers vaccinated with 2nd dose on the day","","107"
"19","Total Frontline Workers vaccinated with 2nd dose","","1015627"
"20","Above 45 Vaccinated with 1st dose on the day","","177"
"21","Total Above 45 Vaccinated with 1st dose","","8329935"
"22","Above 45 Vaccinated with 2nd dose on the day","","1221"
"23","Total Above 45 Vaccinated with 2nd dose","","7517799"
"24","18-44 years age group Vaccinated with 1st dose on the day","","757"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12603812"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","2165"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10379273"
"28","15-17 years age group Vaccinated with 1st dose on the day","","350"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1092229"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","211"
"31","Total 15-17 years age group Vaccinated with 2nddose","","788718"
"32","12-14 years age group Vaccinated with 1st dose on the day","","230"
"33","Total 12-14 years age group Vaccinated with 1st dose","","607053"
"34","12-14 years age group Vaccinated with 2nddose on the day","","503"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","366267"
"36","Precautionary dose given on the day","","586"
"37","Total Precautionary dose given","","768743"
"38","Total Vaccination 1st dose on the day","","935"
"39","Total Vaccination 2nd dose on the day","","3501"
"40","Total Vaccination 1st and 2nd dose on the day","","4436"
