"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","404"
"2","Number of persons tested positive today in Tamil Nadu","72"
"3","Total Number of persons tested positive till date","34,53,679"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","16,680/ 
6,60,89,120@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","16,670/ 
6,49,12,364"
"6","No. of Male / Female / Transgender tested positive today","53/19/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,613/14,38,028/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","334 (69 Govt+ 
265Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","30/ 
34,15,250"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
