"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","537094",19525961
"2","Total No. of patients tested Positive","1164","760241"
"3","No. of patients discharged","1126","742376"
"4","Total Deaths reported","5","17751"
"5","Sample collected on the day","","11396"
"6","Test conducted on the day","","11117"
"7","Positive cases on the day","","22"
"8","Number of active Cases","","114"
"9","No. of Patients on oxygen support","","2"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","3"
"13","Total Healthcare Workers vaccinated with 1st dose","","218610"
"14","Frontline Workers vaccinated with 1st dose on the day","","12"
"15","Total Frontline Workers vaccinated with 1st dose","","1117218"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","16"
"17","Total Healthcare Workers vaccinated with 2nd dose","","209987"
"18","Frontline Workers vaccinated with 2nd dose on the day","","125"
"19","Total Frontline Workers vaccinated with 2nd dose","","1012007"
"20","Above 45 Vaccinated with 1st dose on the day","","1195"
"21","Total Above 45 Vaccinated with 1st dose","","8311290"
"22","Above 45 Vaccinated with 2nd dose on the day","","12949"
"23","Total Above 45 Vaccinated with 2nd dose","","7227131"
"24","18-44 years age group Vaccinated with 1st dose on the day","","3950"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12546129"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","21460"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9787896"
"28","15-17 years age group Vaccinated with 1st dose on the day","","1259"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1068629"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","3412"
"31","Total 15-17 years age group Vaccinated with 2nd dose","","693192"
"32","12-14 years age group Vaccinated with 1st dose on the day","","3127"
"33","Total 12-14 years age group Vaccinated with 1st dose","","557689"
"34","12-14 years age group Vaccinated with 2nd dose on the day","","4124"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","244163"
"36","Precautionary dose given on the day","","4152"
"37","Total Precautionary dose given","","622844"
"38","Total Vaccination 1st dose on the day","","5160"
"39","Total Vaccination 2nd dose on the day","","34550"
"40","Total Vaccination 1st and 2nd dose on the day","","39710"
