"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","155","109932","150","107639","1","2280","13"
"2","SAS Nagar","308","95999","269","94802","0","1148","49"
"3","Jalandhar","105","78376","91","76791","0","1578","7"
"4","Patiala","207","62238","201","60773","0","1457","8"
"5","Amritsar","64","59461","63","57771","0","1682","8"
"6","Bathinda","44","50913","40","49818","0","1088","7"
"7","Hoshiarpur","51","40891","60","39792","0","1096","3"
"8","Gurdaspur","18","26957","18","26091","1","865","1"
"9","Pathankot","38","24571","40","24073","0","495","3"
"10","Fazilka","21","23419","31","22870","0","545","4"
"11","Muktsar","6","22560","11","22021","0","539","0"
"12","Kapurthala","31","22066","31","21483","1","583","0"
"13","Ropar","26","17964","25","17508","0","455","1"
"14","Ferozepur","17","17916","14","17374","0","537","5"
"15","Mansa","5","17233","3","16839","1","393","1"
"16","Faridkot","24","16807","27","16468","0","338","1"
"17","Sangrur","0","14308","0","13573","0","735","0"
"18","SBS Nagar","20","13422","24","13012","0","409","1"
"19","FG Sahib","8","11842","8","11488","0","354","0"
"20","Moga","5","10993","5","10736","1","255","2"
"21","Tarn Taran","4","10902","3","10508","0","394","0"
"22","Barnala","7","7504","12","7155","0","349","0"
"23","Malerkotla","0","3967","0","3791","0","176","0"
"","Total","1164","760241","1126","742376","5","17751","114"
