"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22774","","5271","","28045",""
"2","Total Active Cases","144 
(0.63%)","","00 
(0%)","","144 
(0.51%)",""
"3","Total Cured/ Discharged","22462 
(98.6%)","","5211                                  
(98.9%)","","(98.7%)",""
"4","Total Died","168 
(0.74%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","08","","0","","08",""
"6","Total Positive cases in Home Isolation","37","","00","","37",""
"7","COVID Care Centre","98","","00","","98",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","542","","111","","653",""
"10","No. of Samples Positive (Today)","29","","00","","29",""
"11","No. of Samples Negative (Today)","512","","111","","623",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","331 
        00 
        00 
        07 
       338"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(28/02/2022)","","Test Done Today 
(01/03/2022)","","Cumulative"
"","","a)  RTPCR","303862","","565","","304427"
"","","b)  TRUENAT","12301","","33","","12334"
"","","c)  RAT","346731","","49","","346780"
"","","d)  CBNAAT","822","","06","","828"
"","","TOTAL","663716","","653","","664369"
