"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","883286","19872158"
"2","Total No. of patients tested Positive","3910","762956"
"3","No. of patients discharged","2811","744061"
"4","Total Deaths reported","28","17774"
"5","Sample collected on the day","","11489"
"6","Test conducted on the day","","11267"
"7","Positive cases on the day","","210"
"8","Number of active Cases","","1121"
"9","No. of Patients on oxygen support","","31"
"10","Patients at critical care Level-3 facilities","","8"
"11","Patients who are critical and on ventilator support","","3"
"12","Healthcare Workers vaccinated with 1st dose on the day","","8"
"13","Total Healthcare Workers vaccinated with 1st dose","","218690"
"14","Frontline Workers vaccinated with 1st dose on the day","","7"
"15","Total Frontline Workers vaccinated with 1st dose","","1117508"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","37"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210771"
"18","Frontline Workers vaccinated with 2nd dose on the day","","121"
"19","Total Frontline Workers vaccinated with 2nd dose","","1014496"
"20","Above 45 Vaccinated with 1st dose on the day","","351"
"21","Total Above 45 Vaccinated with 1st dose","","8327281"
"22","Above 45 Vaccinated with 2nd dose on the day","","7213"
"23","Total Above 45 Vaccinated with 2nd dose","","7461455"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1204"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12594636"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","15210"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10259750"
"28","15-17 years age group Vaccinated with 1st dose on the day","","633"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1086902"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","2524"
"31","Total 15-17 years age group Vaccinated with 2nddose","","765516"
"32","12-14 years age group Vaccinated with 1st dose on the day","","404"
"33","Total 12-14 years age group Vaccinated with 1st dose","","596261"
"34","12-14 years age group Vaccinated with 2nddose on the day","","1656"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","338110"
"36","Precautionary dose given on the day","","2749"
"37","Total Precautionary dose given","","741325"
"38","Total Vaccination 1st dose on the day","","1570"
"39","Total Vaccination 2nd dose on the day","","22581"
"40","Total Vaccination 1st and 2nd dose on the day","","24151"
