"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23795","","5327","","29122",""
"2","Total Active Cases","66 
(0.28%)","","05 
(0.09%)","","71 
(0.24%)",""
"3","Total Cured/Discharged","23560 
(99%)","","5262 
(98.76%)","","28822 
(98.9%)",""
"4","Total Died","169 
(0.71%)","","60 
(1.1%)","","229 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","10","","00","","10",""
"6","Total Positive cases in Home Isolation","53","","05","","58",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","03","","00","","03",""
"9","No. of Samples Tested (Today)","593","","69","","662",""
"10","No. of Samples Positive (Today)","09","","00","","09",""
"11","No. of Samples Negative (Today)","584","","69","","653",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","43 
00 
03 
00 
46"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(17/08/2022)","","Test Done Today 
(18/08/2022)","","Cumulative"
"","","a)RTPCR","34818","","305","","35123"
"","","b)TRUENAT","14806","","16","","14822"
"","","c)RAT","358441","","334","","358775"
"","","d)  CBNAAT","1200","","07","","1207"
"","","TOTAL","709265","","662","","709927"
