"S. No","Subject","Number"
"1","Total Number of people vaccinated on 1st Mar","77,514"
"2","First Dose on 1st Mar","5,568"
"3","Second Dose on 1st Mar","66,578"
"4","Precaution Dose on 1st Mar","5,368"
"5","Cumulative Vaccination till 1st Mar","12,92,98,102"
"6","Cumulative Vaccination First Dose","6,96,88,081"
"7","Cumulative Vaccination Second Dose","5,79,91,703"
"8","Cumulative Precaution Dose","16,18,318"
"9","Number of CVC (Common Vaccination Centres)","2,126"
"10","Cumulative AEFI cases reported","6,956"
"11","Vaccine wastage","-7%"
