"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","9,211"
"2","Number of persons tested positive today in Tamil Nadu","782"
"3","Total Number of persons tested positive till date","27,17,203"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,01,984/ 
5,29,52,443@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,01,682/ 
5,20,23,552"
"6","No. of Male / Female / Transgender tested positive today","463/319/0"
"7","No. of Male / Female / Transgender tested positive till date","15,85,890/11,31,275/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","309 (69 Govt+ 
240 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","907/ 
26,71,668"
"10","Total number of deaths today/ till date","13(5 Private &  
8 Govt) /36,324)"
