"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","859326","*19848198"
"2","Total No. of patients tested Positive","3477","762532"
"3","No. of patients discharged","2528","743778"
"4","Total Deaths reported","24","17770"
"5","Sample collected on the day","","10992"
"6","Test conducted on the day","","11182"
"7","Positive cases on the day","","202"
"8","Number of active Cases","","984"
"9","No. of Patients on oxygen support","","24"
"10","Patients at critical care Level-3 facilities","","10"
"11","Patients who are critical and on ventilator support","","1"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218679"
"14","Frontline Workers vaccinated with 1st dose on the day","","8"
"15","Total Frontline Workers vaccinated with 1st dose","","1117499"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","52"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210699"
"18","Frontline Workers vaccinated with 2nd dose on the day","","144"
"19","Total Frontline Workers vaccinated with 2nd dose","","1014230"
"20","Above 45 Vaccinated with 1st dose on the day","","548"
"21","Total Above 45 Vaccinated with 1st dose","","8326527"
"22","Above 45 Vaccinated with 2nd dose on the day","","9183"
"23","Total Above 45 Vaccinated with 2nd dose","","7445867"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1841"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12591622"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","18559"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10228367"
"28","15-17 years age group Vaccinated with 1st dose on the day","","409"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1085841"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","3459"
"31","Total 15-17 years age group Vaccinated with 2nddose","","760240"
"32","12-14 years age group Vaccinated with 1st dose on the day","","705"
"33","Total 12-14 years age group Vaccinated with 1st dose","","595428"
"34","12-14 years age group Vaccinated with 2nddose on the day","","3704"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","334603"
"36","Precautionary dose given on the day","","4056"
"37","Total Precautionary dose given","","735397"
"38","Total Vaccination 1st dose on the day","","2398"
"39","Total Vaccination 2nd dose on the day","","27938"
"40","Total Vaccination 1st and 2nd dose on the day","","30336"
