"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","788471","5","49784","0","447","13","49314","23"
"2","ALWAR","1611313","2","84656","0","320","0","84289","47"
"3","BANSWARA","318504","0","14767","0","106","0","14659","2"
"4","BARAN","236822","1","15297","0","64","11","15217","16"
"5","BARMER","403769","0","21455","0","205","0","21249","1"
"6","BHARATPUR","476274","0","31451","0","272","0","31179","0"
"7","BHILWARA","507407","0","38186","0","162","1","38020","4"
"8","BIKANER","744002","2","49949","0","586","4","49347","16"
"9","BUNDI","234486","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","452257","0","29389","0","140","3","29243","6"
"11","CHURU","434535","1","20851","1","115","5","20722","14"
"12","DAUSA","292273","0","15823","0","81","2","15731","11"
"13","DHOLPUR","285451","0","13958","0","49","0","13894","15"
"14","DUNGARPUR","327775","0","25498","0","134","0","25364","0"
"15","GANGANAGAR","422718","0","28150","0","158","2","27987","5"
"16","HANUMANGARH","488552","0","22518","0","114","0","22404","0"
"17","JAIPUR","3424299","29","276058","0","2113","132","273654","291"
"18","JAISALMER","242507","0","17036","0","68","0","16968","0"
"19","JALORE","445415","0","10548","0","78","0","10468","2"
"20","JHALAWAR","397278","3","17736","0","207","0","17521","8"
"21","JHUNJHUNU","492716","0","19158","0","181","0","18977","0"
"22","JODHPUR","1422739","1","141134","0","1164","0","139952","18"
"23","KARAULI","238646","0","8968","0","84","0","8884","0"
