"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/
Discharged","Cumulative 
Recovered/
Discharged","Active  
case"
"1","AJMER","700293","587","41708","1","413","287","38795","2500"
"2","ALWAR","1384586","1244","69028","1","312","755","62059","6657"
"3","BANSWARA","272316","59","10743","0","104","34","10093","546"
"4","BARAN","192443","93","12657","0","62","46","12019","576"
"5","BARMER","366323","294","18624","0","188","319","16120","2316"
"6","BHARATPUR","424259","421","24142","0","260","362","20701","3181"
"7","BHILWARA","447479","277","32359","0","156","108","30279","1924"
"8","BIKANER","652236","368","45317","2","550","493","41751","3016"
"9","BUNDI","199837","59","8341","0","48","24","7983","310"
"10","CHITTORGARH","407004","568","22914","0","139","236","20897","1878"
"11","CHURU","370484","203","17933","0","108","105","16864","961"
"12","DAUSA","241987","140","14439","1","65","104","13590","784"
"13","DHOLPUR","247716","139","11825","0","48","6","11035","742"
"14","DUNGARPUR","293636","281","19731","0","131","169","18736","864"
"15","GANGANAGAR","370429","310","20787","0","151","112","19515","1121"
"16","HANUMANGARH","441284","85","18058","0","111","117","16217","1730"
"17","JAIPUR","2869329","3310","224475","3","1993","2164","201653","20829"
"18","JAISALMER","224658","69","14755","0","66","150","13928","761"
"19","JALORE","410703","17","10136","0","73","0","9997","66"
"20","JHALAWAR","329679","150","14601","0","190","124","13882","529"
"21","JHUNJHUNU","428681","258","15662","0","161","52","14800","701"
"22","JODHPUR","1258216","1212","122926","2","1110","777","116532","5284"
"23","KARAULI","203094","106","7410","0","72","0","7093","245"
