"Total No. of Sample Taken Today","8952"
"Total No. of Positive Cases Detected Today","719"
"Total Active COVID-19 Patients","3686"
"Total No. of Active Cases under Home Isolation (20-08-2022)","3485"
"Total No. of Samples found Positive till date","1047194"
"Total Positive COVID-19 Patients Recovered / Discharged till date","1032823"
"No. of Deaths","10662"
"Total No. of People Vaccinated Today","15441 
(1st Dose: 807 
2nd Dose: 2872 
Precaution Dose: 11762)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23637150 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 88% for 15yrs above population)","19724485 (88%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","1658547"
"Cumulative Coverage of Total COVID-19 Vaccination","45020182"
"COVID-19 Today (20-08-2022) Positivity Rate","5.44%"
"Recovery Rate","98.63%"
"Fatality Rate","1.02%"
