"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","7,164"
"2","Number of persons tested positive today in Tamil Nadu","477"
"","Passengers returned from other countries  by 
International airport tested positive today","Malaysia - 1"
"","Passengers returned from other states  by Road tested 
positive today","West Bengal – 1 
Kerala - 1"
"","Total","480"
"3","Total Number of persons tested positive till date","34,48,568"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","63,263/ 
6,42,81,633@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","62,775/ 
6,31,08,827"
"6","No. of Male / Female / Transgender tested positive today","280/200/0"
"7","No. of Male / Female / Transgender tested positive till date","20,12,809/14,35,721/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","335 (69 Govt+ 
266 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,464/ 
34,03,402"
"10","Total number of deaths today/ till date","2(1 Private &  
1 Govt) /38,002"
