"S.No","District","Cumulative 
Sample","Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Dischar
ged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","751989","50","49291","1","440","101","48299","552"
"2","ALWAR","1488172","94","84081","0","319","188","83092","670"
"3","BANSWARA","291909","88","14239","0","106","40","13137","996"
"4","BARAN","212805","25","15098","0","63","53","14834","201"
"5","BARMER","390824","11","21367","2","202","27","20914","251"
"6","BHARATPUR","457855","31","31259","1","271","62","30734","254"
"7","BHILWARA","482817","41","37954","0","161","112","37390","403"
"8","BIKANER","693955","47","49478","1","580","56","48533","365"
"9","BUNDI","217583","5","9688","0","55","30","9588","45"
"10","CHITTORGARH","437928","17","29218","0","140","5","29008","70"
"11","CHURU","401819","23","20527","0","114","88","20147","266"
"12","DAUSA","267125","8","15704","0","76","18","15511","117"
"13","DHOLPUR","266316","3","13663","0","49","25","13507","107"
"14","DUNGARPUR","321254","20","25378","0","134","88","25117","127"
"15","GANGANAGAR","402198","6","27753","0","156","174","26841","756"
"16","HANUMANGARH","467779","24","22272","0","114","0","22015","143"
"17","JAIPUR","3135107","454","270175","1","2102","1139","263194","4879"
"18","JAISALMER","236943","21","16899","0","68","76","16526","305"
"19","JALORE","430239","2","10503","0","78","3","10414","11"
"20","JHALAWAR","352549","26","17522","1","204","72","17182","136"
"21","JHUNJHUNU","464968","67","18816","0","179","112","18212","425"
"22","JODHPUR","1343415","151","140008","1","1161","252","138270","577"
"23","KARAULI","223252","34","8752","0","83","53","8552","117"
