"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","229157","223219","5894","44"
"12","Nashik","478411","469340","8918","153"
"13","Ahmednagar","380669","373324","7251","94"
"14","Jalgaon","150193","147424","2762","7"
"15","Nandurbar","46968","46000","963","5"
"16","Dhule","51441","50764","670","7"
"17","Aurangabad","178631","174321","4288","22"
"18","Jalna","67489","66236","1226","27"
"19","Beed","109708","106813","2889","6"
"20","Latur","106371","103830","2489","52"
"21","Parbhani","58794","57507","1281","6"
"22","Hingoli","22446","21923","516","7"
"23","Nanded","103293","100579","2704","10"
"24","Osmanabad","76693","74507","2139","47"
"25","Amravati","106989","105347","1626","16"
"26","Akola","66953","65441","1476","36"
"27","Washim","47350","46675","641","34"
"28","Buldhana","93136","92275","839","22"
"29","Yavatmal","82626","80802","1820","4"
"30","Nagpur","585630","576282","9224","124"
"31","Wardha","66344","64931","1410","3"
"32","Bhandara","69855","68697","1142","16"
"33","Gondia","45976","45379","588","9"
"34","Chandrapur","100038","98361","1596","81"
