"D
      
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 02.09.2022","","","","","",""
"","","","","","",""
"","The first case of Corona Virus infection, which has caused a pandemic  resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective 
intervention  in 
the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","1432","",""
"","","2","Total Discharges","4007910","",""
"","","3","Today's Tests Conducted","20894","",""
"","","4","Total Tests Conducted","68662973","",""
"","","5","Today’s New Cases Reported (01.09.2022, 00:00 to 23:59)","1105*","",""
"","","6","Total Active Cases","5051","",""
"","","7","Today's Deaths Reported","1","",""
"","","8","Total Covid Deaths","40202","",""
"","","9","Total Positive Cases","4053205","",""
"","","10","Positivity Rate for the day (01.09.2022, 00:00 to 23:59)","5.28.%","",""
"","","11","*Weekly Total Positivity Rate","4.22%","",""
"","","12","Case Fatality Rate (CFR) for the day (01.09.2022, 00:00 to 23:59)","0.09%","",""
"","","13","*Weekly Case Fatality Rate","0.28%","",""
"*From 27-08-2022 to 02-09-2022 
  * Today positives also includes backlog cases of 01.09.2022 which could not be ported due to technical glitch. 
  
Particulars 
Today’s 
Cumulative 
2779* 
1439608 
A 
Total Passengers screened at Air ports 
          *Date: 01-09-2022  
 
Date: 02-09-2022 
Page 1 of 9","","","","","",""
