"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1844360","20834824"
"2","Total No. of patients tested Positive","24360","784888"
"3","No. of patients discharged","23922","764196"
"4","Total Deaths reported","205","20510"
"5","Sample collected on the day","","6513"
"6","Test conducted on the day","","6344"
"7","Positive cases on the day","","32"
"8","Number of active Cases","","182"
"9","No. of Patients on oxygen support","","5"
"10","Patients at critical care Level-3 facilities","","3"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218886"
"14","Frontline Workers vaccinated with 1st dose on the day","","0"
"15","Total Frontline Workers vaccinated with 1st dose","","1117945"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","5"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211977"
"18","Frontline Workers vaccinated with 2nd dose on the day","","2"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019296"
"20","Above 45 Vaccinated with 1st dose on the day","","21"
"21","Total Above 45 Vaccinated with 1st dose","","8346812"
"22","Above 45 Vaccinated with 2nd dose on the day","","155"
"23","Total Above 45 Vaccinated with 2nd dose","","7652416"
"24","18-44 years age group Vaccinated with 1st dose on the day","","98"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12662016"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","741"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10699458"
"28","15-17 years age group Vaccinated with 1st dose on the day","","31"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1114744"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","151"
"31","Total 15-17 years age group Vaccinated with 2nddose","","863199"
"32","12-14 years age group Vaccinated with 1st dose on the day","","142"
"33","Total 12-14 years age group Vaccinated with 1st dose","","678911"
"34","12-14 years age group Vaccinated with 2nddose on the day","","227"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","486969"
"36","Precautionary dose given on the day","","1653"
"37","Total Precautionary dose given","","1786262"
"38","Total Vaccination 1st dose on the day","","119"
"39","Total Vaccination 2nd dose on the day","","903"
"40","Total Vaccination 1st and 2nd dose on the day","","1022"
