"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","132","12","0","25","171"
"2","ALWAR","160","25","0","35","631"
"3","BANSWARA","0","1","0","2","27"
"4","BARAN","47","0","0","0","8"
"5","BARMER","33","0","0","0","7"
"6","BHARATPUR","94","16","0","4","215"
"7","BHILWARA","142","0","0","16","36"
"8","BIKANER","117","9","0","9","42"
"9","BUNDI","8","29","0","0","46"
"10","CHITTORGARH","8","0","0","18","172"
"11","CHURU","7","0","0","1","4"
"12","DAUSA","37","18","0","25","164"
"13","DHOLPUR","0","0","0","5","31"
"14","DUNGARPUR","3","0","0","2","72"
"15","GANGANAGAR","5","1","0","0","8"
"16","HANUMANGARH","22","0","0","0","8"
"17","JAIPUR","829","183","0","153","1428"
"18","JAISALMER","55","7","0","7","28"
"19","JALORE","7","4","0","0","24"
"20","JHALAWAR","18","3","0","5","34"
"21","JHUNJHUNU","214","0","0","0","1"
"22","JODHPUR","179","20","0","94","168"
"23","KARAULI","0","0","0","0","0"
"24","KOTA","367","2","0","9","82"
"25","NAGAUR","89","0","0","0","108"
"26","PALI","93","3","0","0","23"
