"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","13,510"
"2","Number of persons tested positive today in Tamil Nadu","1,623"
"","Passengers returned from other  states  by Road tested 
positive today","Jharkhand-1"
"","Total","1,624"
"3","Total Number of persons tested positive till date","35,41,231"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","35,984/ 
6,80,82,636@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","35,316/ 
6,68,81,068"
"6","No. of Male / Female / Transgender tested positive today","969/655/0"
"7","No. of Male / Female / Transgender tested positive till date","20,64,661/14,76,532/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","345 (77 Govt+ 
268 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","2,004/ 
34,89,689"
"10","Total number of deaths today/ till date","0 (0 Private &  
0 Govt) /38,032"
