"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","321"
"2","Number of persons tested positive today in Tamil Nadu","35"
"","Passengers returned from other countries  by 
International airport tested positive today","Africa-1"
"","Total","36"
"3","Total Number of persons tested positive till date","34,54,722"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","14,623/ 
6,64,44,864@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","14,610/ 
6,52,67,733"
"6","No. of Male / Female / Transgender tested positive today","18/18/0"
"7","No. of Male / Female / Transgender tested positive till date","20,16,179/14,38,505/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","335 (69 Govt+ 
266Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","39/ 
34,16,376"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
