"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","4,820"
"2","Number of persons tested positive today in Tamil Nadu","463"
"3","Total Number of persons tested positive till date","35,75,843"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","18,813/ 
6,91,95,082@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","18,668/ 
6,79,79,083"
"6","No. of Male / Female / Transgender tested positive today","247/216/0"
"7","No. of Male / Female / Transgender tested positive till date","20,85,285/14,90,520/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","436/ 
35,32,983"
"10","Total number of deaths today/ till date","1 (0 Private & 
1 Govt) /38,040"
