"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1055477","20044355"
"2","Total No. of patients tested Positive","6814","765822"
"3","No. of patients discharged","5379","746629"
"4","Total Deaths reported","44","17790"
"5","Sample collected on the day","","12220"
"6","Test conducted on the day","","11730"
"7","Positive cases on the day","","309"
"8","Number of active Cases","","1403"
"9","No. of Patients on oxygen support","","56"
"10","Patients at critical care Level-3 facilities","","8"
"11","Patients who are critical and on ventilator support","","2"
"12","Healthcare Workers vaccinated with 1st dose on the day","","2"
"13","Total Healthcare Workers vaccinated with 1st dose","","218755"
"14","Frontline Workers vaccinated with 1st dose on the day","","4"
"15","Total Frontline Workers vaccinated with 1st dose","","1117600"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","37"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211154"
"18","Frontline Workers vaccinated with 2nd dose on the day","","145"
"19","Total Frontline Workers vaccinated with 2nd dose","","1016232"
"20","Above 45 Vaccinated with 1st dose on the day","","216"
"21","Total Above 45 Vaccinated with 1st dose","","8331571"
"22","Above 45 Vaccinated with 2nd dose on the day","","4608"
"23","Total Above 45 Vaccinated with 2nd dose","","7540840"
"24","18-44 years age group Vaccinated with 1st dose on the day","","823"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12608893"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","10532"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10430800"
"28","15-17 years age group Vaccinated with 1st dose on the day","","883"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1095333"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","2783"
"31","Total 15-17 years age group Vaccinated with 2nddose","","802526"
"32","12-14 years age group Vaccinated with 1st dose on the day","","2667"
"33","Total 12-14 years age group Vaccinated with 1st dose","","618181"
"34","12-14 years age group Vaccinated with 2nddose on the day","","4554"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","389967"
"36","Precautionary dose given on the day","","12000"
"37","Total Precautionary dose given","","795042"
"38","Total Vaccination 1st dose on the day","","1045"
"39","Total Vaccination 2nd dose on the day","","15322"
"40","Total Vaccination 1st and 2nd dose on the day","","16367"
