"D
      
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 28.09.2022","","","","","",""
"","","","","","",""
"","The first case of Corona Virus infection, which has caused a pandemic  resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective 
intervention  in 
the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","279","",""
"","","2","Total Discharges","4021320","",""
"","","3","Today's Tests Conducted","19780","",""
"","","4","Total Tests Conducted","69149147","",""
"","","5","Today’s New Cases Reported (27.09.2022, 00:00 to 23:59)","264","",""
"","","6","Total Active Cases","2744","",""
"","","7","Today's Deaths Reported","1","",""
"","","8","Total Covid Deaths","40240","",""
"","","9","Total Positive Cases","4064346","",""
"","","10","Positivity Rate for the day (27.09.2022, 00:00 to 23:59)","1.32%","",""
"","","11","*Weekly Total Positivity Rate","1.48%","",""
"","","12","Case Fatality Rate (CFR) for the day (27.09.2022, 00:00 to 23:59)","0.38%","",""
"","","13","*Weekly Case Fatality Rate","0.21%","",""
"*
     
   
                     
From 22-09-2022   to 28-09-2022 
Particulars 
Today’s 
Cumulative 
8991* 
1548681 
A 
Total Passengers screened at Air ports 
          *Date: 26-09-2022 & 27-09-2022 
 
Date: 28-09-2022 
Page 1 of 8","","","","","",""
