"1","Total Samples taken","16905814"
"2","Sample collected on the day","23640"
"3","Test conducted on the day","22794"
"4","Total No. of patients tested Positive","608723"
"5","No. of patients discharged","587632"
"6","Positive cases on the day","1811"
"7","Number of active Cases","4434"
"8","Total Deaths reported","16657"
"9","No. of Patients on oxygen support","53"
"10","Patients at critical care Level-3 facilities","14"
"11","Patients who are critical and on ventilator support","2"
"12","Healthcare Workers vaccinated with 1st dose on the day","11"
"13","Total Healthcare Workers vaccinated with 1st dose","*217469"
"14","Frontline Workers vaccinated with 1st dose on the day","43"
"15","Total Frontline Workers vaccinated with 1st dose","*1113833"
"16","Healthcare Workers vaccinated with 2nd dose on the day","24"
"17","Total Healthcare Workers vaccinated with 2nd dose","*182769"
"18","Frontline Workers vaccinated with 2nd dose on the day","251"
"19","Total Frontline Workers vaccinated with 2nd dose","*872041"
"20","Above 45 Vaccinated with 1st dose on the day","12212"
"21","Total Above 45 Vaccinated with 1st dose","*6844120"
"22","Above 45 Vaccinated with 2nd dose on the day","21352"
"23","Total Above 45 Vaccinated with 2nd dose","*4252947"
"24","18-44 years age group Vaccinated with 1st dose on the day","32638"
"25","Total 18-44 years age group Vaccinated with 1st dose","*9101226"
"26","18-44 years age group Vaccinated with 2nd dose on the day","52427"
"27","Total 18-44 years age group Vaccinated with 2nd dose","*4262055"
"28","15-17 years age group Vaccinated with 1st dose on the day","7150"
"29","Total 15-17 years age group Vaccinated with 1st dose","*14558"
"30","Total Vaccination 1st dose on the day","52054"
"31","Total Vaccination 2nd dose on the day","74054"
"32","Total Vaccination 1st and 2nd dose on the day","126108"
