"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Dis
charged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","628405","1","37827","0","410","1
5
0
0
0
0
0
0
0
0
0
0
0
0
0
0
3
0
0
0
0
0
0","37394","23"
"2","ALWAR","1246897","2","59714","0","307","","59398","9"
"3","BANSWARA","230899","0","10005","0","104","","9901","0"
"4","BARAN","161149","0","11997","0","61","","11936","0"
"5","BARMER","331988","0","15572","0","185","","15384","3"
"6","BHARATPUR","383524","0","19601","0","260","","19341","0"
"7","BHILWARA","391728","1","29783","0","156","","29626","1"
"8","BIKANER","596885","1","40363","0","545","","39802","16"
"9","BUNDI","175920","0","7967","0","48","","7919","0"
"10","CHITTORGARH","360490","0","19809","0","139","","19670","0"
"11","CHURU","318244","0","16720","0","107","","16613","0"
"12","DAUSA","210429","0","13353","0","62","","13289","2"
"13","DHOLPUR","224955","0","11010","0","48","","10962","0"
"14","DUNGARPUR","249441","0","18407","0","131","","18276","0"
"15","GANGANAGAR","333029","0","19355","0","150","","19205","0"
"16","HANUMANGARH","377098","0","16054","0","111","","15942","1"
"17","JAIPUR","2546758","10","188010","0","1971","","185924","115"
"18","JAISALMER","206355","0","13644","0","66","","13573","5"
"19","JALORE","375677","0","10067","0","72","","9995","0"
"20","JHALAWAR","283484","0","13612","0","187","","13425","0"
"21","JHUNJHUNU","373297","0","14811","0","158","","14653","0"
"22","JODHPUR","1160019","2","112421","0","1103","","111312","6"
"23","KARAULI","170918","0","7156","0","70","","7086","0"
