"Total No. of Sample Taken Today","36388"
"Total No. of Positive Cases Detected Today","28"
"Total Positive Cases under Home Isolation (15-12-2021)","169"
"Total No. of Samples Sent till date","14122172"
"Total No. of Samples found Positive till date","772114 
(M: 471755 
F: 300342 
Transgender: 17)"
"Total Positive COVID-19 Patients Recovered / Discharged till date","761820"
"Total Active COVID-19 Patients","211"
"No. of Deaths","10060"
"Total No. of People Vaccinated today","122151 
(1st Dose: 21543, 
2nd Dose: 100608"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose","19036049 (92%)"
"Cumulative Coverage of COVID-19 Vaccination – 2nd Dose","11761925 (57%)"
"Cumulative Coverage of Total COVID-19 Vaccination","30797974"
"COVID-19 Today (16-12-2021) Positivity Rate","0.08%"
"COVID-19 Cumulative Positivity Rate","5.48%"
"Recovery Rate","98.67%"
"Fatality Rate","1.30%"
"Tests Per Million Population","557088"
