"D
       
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 16-06-2022","","","","","",""
"","","","","","",""
"","T
he first case of Corona Virus infection, which has caused a pandemic resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective  intervention  in  the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","458","",""
"","","2","Total Discharges","3914343","",""
"","","3","Today's Tests Conducted","23990","",""
"","","4","Total Tests Conducted","66686863","",""
"","","5","Today’s New Cases Reported (15.06.2022, 00:00 to 23:59)","833","",""
"","","6","Total Active Cases","4371","",""
"","","7","Today's Deaths Reported","1","",""
"","","8","Total Covid Deaths","40068","",""
"","","9","Total Positive Cases","3958824","",""
"","","10","Positivity Rate for the day (15.06.2022, 00:00 to 23:59)","3.47%","",""
"","","11","*Weekly Total Positivity Rate","2.63%","",""
"","","12","Case Fatality Rate (CFR) for the day (15.06.2022, 00:00 to 23:59)","0.12%","",""
"","","13","*Weekly Case Fatality Rate","0.03%","",""
"*
     
   
From 10-06-2022 to 16-06-2022  
 
Particulars 
Today’s 
Cumulative 
A 
Total Passengers screened at Air ports 
5396* 
1065321 
          Date: 15-6-2022 
 
Date: 16-06-2022 
Page 1 of 8","","","","","",""
