"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","21403","","4618","","26021",""
"2","Total Active Cases","747 
(3.5%)","","314 
(6.8%)","","1087 
(4.2%)",""
"3","Total Cured/ Discharged","20491 
(95.7%)","","4219                                  
(91.4%)","","(95%)",""
"4","Total Died","165 
(0.77%)","","59 
(1.3%)","","224 
(0.86%)",""
"5","Total Positive cases admitted in COVID 
Hospital","23","","10","","33",""
"6","Total Positive cases in Home Isolation","629","","329","","958",""
"7","COVID Care Centre","69","","01","","70",""
"8","Facility Isolation","26","","0","","26",""
"9","No. of Samples Tested (Today)","649","","525","","1174",""
"10","No. of Samples Positive (Today)","68","","57","","125",""
"11","No. of Samples Negative (Today)","580","","468","","1048",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","349 
          00 
      00 
           56 
          405"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(30/01/2022)","","Test Done Today 
(31/01/2022)","","Cumulative"
"","","a)  RTPCR","276190","","1004","","277194"
"","","b)  TRUENAT","11650","","25","","11675"
"","","c)  RAT","343613","","116","","343729"
"","","d)  CBNAAT","324","","29","","353"
"","","TOTAL","631777","","1174","","632951"
