"D
       
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 09.08.2022","","","","","",""
"","","","","","",""
"","The first case of Corona Virus infection, which has caused a pandemic resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective  intervention  in  the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","2068","",""
"","","2","Total Discharges","3971759","",""
"","","3","Today's Tests Conducted","25524","",""
"","","4","Total Tests Conducted","68066461","",""
"","","5","Today’s New Cases Reported (08.08.2022, 00:00 to 23:59)","1608","",""
"","","6","Total Active Cases","10790","",""
"","","7","Today's Deaths Reported","2","",""
"","","8","Total Covid Deaths","40123","",""
"","","9","Total Positive Cases","4022714","",""
"","","10","Positivity Rate for the day (08.08.2022, 00:00 to 23:59)","6.29%","",""
"","","11","*Weekly Total Positivity Rate","6.29%","",""
"","","12","Case Fatality Rate (CFR) for the day (08.08.2022, 00:00 to 23:59)","0.12%","",""
"","","13","*Weekly Case Fatality Rate","0.14%","",""
"*From  03-08-2022 to  09-08-2022 
Particulars 
Today’s 
Cumulative 
A 
Total Passengers screened at Air ports 
4826* 
1344232 
          *Date: 08-08-2022 
 
Date: 09-08-2022 
Page 1 of 11","","","","","",""
