"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22987","","5281","","28268",""
"2","Total Active Cases","07 
(0.03%)","","00 
(0%)","","07 
(0.02%)",""
"3","Total Cured/Discharged","22812 
(99.2%)","","5221 
(98.9%)","","28033 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","04","","0","","04",""
"6","Total Positive cases in Home Isolation","02","","00","","02",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","139","","39","","178",""
"10","No. of Samples Positive (Today)","00","","00","","00",""
"11","No. of Samples Negative (Today)","136","","39","","175",""
"12","Repeat Positive/ Resampling (Today)","03","","00","","03",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","62 
45 
21 
05 
133"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(31/05/2022)","","Test Done Today 
(01/06/2022)","","Cumulative"
"","","a)RTPCR","322754","","109","","322863"
"","","b)TRUENAT","14045","","09","","14054"
"","","c)RAT","349330","","60","","349390"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","687234","","178","","687412"
