"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","1,732"
"2","Number of persons tested positive today in Tamil Nadu","158"
"3","Total Number of persons tested positive till date","35,91,891"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","8,895/ 
6,97,65,914@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","8,787/ 
6,85,43,538"
"6","No. of Male / Female / Transgender tested positive today","87/71/0"
"7","No. of Male / Female / Transgender tested positive till date","20,94,370/14,97,483/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","324/ 
35,52,111"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,048"
