"Total No. of Sample Taken Today","33690"
"Total No. of Positive Cases Detected Today  
(Omicron Cases Reported Today: 336)","3267"
"Total Active COVID-19 Patients","20859"
"Total No. of Active Cases under Home Isolation (02-02-2022)","19586"
"Total No. of Samples found Positive till date 
Total Omicron Cases:643 (Active – 5, Discharged - 638)","955693"
"Total Positive COVID-19 Patients Recovered / Discharged till date","924474"
"No. of Deaths","10337"
"Total No. of People Vaccinated today","88052 
(1st Dose: 26795, 
2nd Dose: 56230 
Precaution Dose: 5027)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18 yrs above population)","22533812 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 81% for 18yrs above population)","16756304 (81%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","154860"
"Cumulative Coverage of Total COVID-19 Vaccination","39444976"
"COVID-19 Today (02-02-2022) Positivity Rate","10.03%"
"Recovery Rate","96.73%"
"Fatality Rate","1.08%"
"Tests Per Million Population","627926"
