"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","426963","19415824"
"2","Total No. of patients tested Positive","973","760051"
"3","No. of patients discharged","885","742135"
"4","Total Deaths reported","4","17751"
"5","Sample collected on the day","","12803"
"6","Test conducted on the day","","12711"
"7","Positive cases on the day","","22"
"8","Number of active Cases","","165"
"9","No. of Patients on oxygen support","","1"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218582"
"14","Frontline Workers vaccinated with 1st dose on the day","","4"
"15","Total Frontline Workers vaccinated with 1st dose","","1117151"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","30"
"17","Total Healthcare Workers vaccinated with 2nd dose","","209796"
"18","Frontline Workers vaccinated with 2nd dose on the day","","76"
"19","Total Frontline Workers vaccinated with 2nd dose","","1011080"
"20","Above 45 Vaccinated with 1st dose on the day","","546"
"21","Total Above 45 Vaccinated with 1st dose","","8300379"
"22","Above 45 Vaccinated with 2nd dose on the day","","12428"
"23","Total Above 45 Vaccinated with 2nd dose","","7118752"
"24","18-44 years age group Vaccinated with 1st dose on the day","","2146"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12513489"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","24959"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9578439"
"28","15-17 years age group Vaccinated with 1st dose on the day","","2447"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1056940"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","5293"
"31","Total 15-17 years age group Vaccinated with 2nddose","","659097"
"32","12-14 years age group Vaccinated with 1st dose on the day","","5369"
"33","Total 12-14 years age group Vaccinated with 1st dose","","527317"
"34","12-14 years age group Vaccinated with 2nddose on the day","","4774"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","202764"
"36","Precautionary dose given on the day","","3855"
"37","Total Precautionary dose given","","588502"
"38","Total Vaccination 1st dose on the day","","2696"
"39","Total Vaccination 2nd dose on the day","","37493"
"40","Total Vaccination 1st and 2nd dose on the day","","40189"
