"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","132","109909","112","107601","1","2280","28"
"2","SAS Nagar","232","95923","175","94708","0","1148","67"
"3","Jalandhar","94","78366","76","76776","0","1578","12"
"4","Patiala","197","62229","190","60762","0","1458","9"
"5","Amritsar","49","59444","41","57749","0","1682","13"
"6","Bathinda","30","50900","33","49811","0","1088","1"
"7","Hoshiarpur","47","40886","58","39790","0","1096","0"
"8","Gurdaspur","14","26953","13","26086","1","865","2"
"9","Pathankot","32","24566","35","24068","0","495","3"
"10","Fazilka","17","23415","29","22868","0","545","2"
"11","Muktsar","6","22560","11","22021","0","539","0"
"12","Kapurthala","29","22062","20","21472","1","583","7"
"13","Ropar","18","17956","10","17493","0","455","8"
"14","Ferozepur","11","17910","9","17369","0","537","4"
"15","Mansa","4","17232","3","16839","0","392","1"
"16","Faridkot","22","16805","23","16464","0","338","3"
"17","Sangrur","0","14308","0","13573","0","735","0"
"18","SBS Nagar","19","13421","23","13011","0","409","1"
"19","FG Sahib","8","11842","7","11487","0","354","1"
"20","Moga","3","10991","3","10734","1","255","2"
"21","Tarn Taran","2","10901","2","10507","0","394","0"
"22","Barnala","7","7505","12","7155","0","349","1"
"23","Malerkotla","0","3967","0","3791","0","176","0"
"","Total","973","760051","885","742135","4","17751","165"
