"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","776937","1","49706","0","446","0","49251","9"
"2","ALWAR","1569761","3","84441","0","320","0","84109","12"
"3","BANSWARA","308846","1","14759","0","106","3","14643","10"
"4","BARAN","227345","1","15245","0","64","2","15179","2"
"5","BARMER","399480","0","21452","0","205","0","21247","0"
"6","BHARATPUR","474260","0","31446","0","272","0","31153","21"
"7","BHILWARA","500217","0","38176","0","162","0","38014","0"
"8","BIKANER","724769","0","49884","0","586","0","49293","5"
"9","BUNDI","227252","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","447365","0","29364","0","140","0","29222","2"
"11","CHURU","425507","0","20815","0","114","1","20696","5"
"12","DAUSA","284268","0","15773","0","80","0","15693","0"
"13","DHOLPUR","274631","0","13748","0","49","0","13699","0"
"14","DUNGARPUR","326521","0","25497","0","134","0","25363","0"
"15","GANGANAGAR","419273","0","28136","0","158","0","27976","2"
"16","HANUMANGARH","484019","3","22513","0","114","0","22389","10"
"17","JAIPUR","3316886","8","274310","0","2111","25","272067","132"
"18","JAISALMER","241052","0","17036","0","68","0","16968","0"
"19","JALORE","439615","0","10545","0","78","6","10467","0"
"20","JHALAWAR","374042","0","17706","0","207","0","17499","0"
"21","JHUNJHUNU","487820","0","19158","0","181","0","18977","0"
"22","JODHPUR","1392981","6","141041","0","1163","3","139854","24"
"23","KARAULI","234648","0","8968","0","84","0","8883","1"
