"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Disc
harged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","651551","3","37875","0","410","0","37436","29"
"2","ALWAR","1315816","0","59746","0","307","2","59435","4"
"3","BANSWARA","252102","0","10005","0","104","0","9901","0"
"4","BARAN","175748","0","12000","0","61","3","11939","0"
"5","BARMER","341558","0","15586","0","186","0","15394","6"
"6","BHARATPUR","393260","0","19605","0","260","0","19344","1"
"7","BHILWARA","414415","4","29799","0","156","0","29627","16"
"8","BIKANER","615032","2","40415","0","546","3","39851","18"
"9","BUNDI","186394","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","375995","0","19809","0","139","0","19670","0"
"11","CHURU","337961","0","16723","0","108","0","16615","0"
"12","DAUSA","222148","0","13356","0","62","0","13293","1"
"13","DHOLPUR","231742","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","260937","0","18412","0","131","0","18281","0"
"15","GANGANAGAR","350312","0","19363","0","151","0","19208","4"
"16","HANUMANGARH","406250","1","16077","0","111","1","15964","2"
"17","JAIPUR","2633065","26","188271","0","1971","4","186171","129"
"18","JAISALMER","212132","0","13651","0","66","0","13580","5"
"19","JALORE","389782","0","10068","0","72","1","9996","0"
"20","JHALAWAR","306051","0","13613","0","187","0","13425","1"
"21","JHUNJHUNU","402617","0","14828","0","160","0","14660","8"
"22","JODHPUR","1188533","4","112452","0","1103","0","111335","14"
"23","KARAULI","183354","0","7156","0","70","0","7086","0"
