"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","962"
"2","Number of persons tested positive today in Tamil Nadu","77"
"3","Total Number of persons tested positive till date","34,52,073"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","35,611/ 
6,50,82,908@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","35,555/ 
6,39,06,874"
"6","No. of Male / Female / Transgender tested positive today","41/36/0"
"7","No. of Male / Female / Transgender tested positive till date","20,14,786/14,37,249/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","335 (69 Govt+ 
266 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","169/ 
34,13,087"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,024"
