"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","5,233"
"2","Number of persons tested positive today in Tamil Nadu","522"
"3","Total Number of persons tested positive till date","35,78,839"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","17,570/ 
6,92,97,695@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","17,421/ 
6,80,80,835"
"6","No. of Male / Female / Transgender tested positive today","248/274/0"
"7","No. of Male / Female / Transgender tested positive till date","20,86,891/14,91,910/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","447/ 
35,35,564"
"10","Total number of deaths today/ till date","1 (0 Private & 
1 Govt) /38,042"
