"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23044","","5284","","28328",""
"2","Total Active Cases","31 
(0.13%)","","01 
(0.02%)","","32 
(0.11%)",""
"3","Total Cured/Discharged","22845 
(99.1%)","","5223 
(98.8%)","","28068 
(99.1%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","06","","00","","06",""
"6","Total Positive cases in Home Isolation","24","","01","","25",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","230","","08","","238",""
"10","No. of Samples Positive (Today)","10","","00","","10",""
"11","No. of Samples Negative (Today)","220","","08","","228",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","44 
08 
19 
00 
71"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(20/06/2022)","","Test Done Today 
(21/06/2022)","","Cumulative"
"","","a)RTPCR","325316","","177","","325493"
"","","b)TRUENAT","14246","","17","","14263"
"","","c)RAT","350077","","44","","350121"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","690744","","238","","690982"
