"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","4,366"
"2","Number of persons tested positive today in Tamil Nadu","736"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE-1"
"","Total","737"
"3","Total Number of persons tested positive till date","34,62,297"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","16,808/ 
6,69,24,040@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","16,701/ 
6,57,45,733"
"6","No. of Male / Female / Transgender tested positive today","397/340/0"
"7","No. of Male / Female / Transgender tested positive till date","20,20,266/14,41,993/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","322/ 
34,19,905"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,026"
