"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","16,906"
"2","Number of persons tested positive today in Tamil Nadu","2,223"
"3","Total Number of persons tested positive till date","35,20,000"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","33,312/ 
6,77,22,251@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","32,511/ 
6,65,28,892"
"6","No. of Male / Female / Transgender tested positive today","1,233/990/0"
"7","No. of Male / Female / Transgender tested positive till date","20,52,223/14,67,739/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","338 (70 Govt+ 
268$ Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","2,402/ 
34,65,064"
"10","Total number of deaths today/ till date","0 (0 Private &  
0 Govt) /38,030"
