"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18284","","3687","","21971",""
"2","Total Active Cases","151 
(0.83%)","","30 
(0.81%)","","181 
(0.82%)",""
"3","Total Cured/ Discharged","17973 
(98.3%)","","3599                                  
(96.5%)","","(98.2%)",""
"4","Total Died","160 
(0.88%)","","58 
(1.6%)","","218 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","19","","00","","19",""
"6","Total Positive cases in Home Isolation","97","","30","","127",""
"7","COVID Care Centre","19","","0","","19",""
"8","Facility Isolation","16","","0","","16",""
"9","No. of Samples Tested (Today)","545","","211","","756",""
"10","No. of Samples Positive (Today)","13","","00","","13",""
"11","No. of Samples Negative (Today)","532","","211","","743",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","358 
          173 
       00 
            32 
          563"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(19/12/2021)","","Test Done Today 
(20/12/2021)","","Cumulative"
"","","a)  RTPCR","244557","","422","","244979"
"","","b)  TRUENAT","11184","","05","","11189"
"","","c)  RAT","336587","","329","","336916"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","592500","","756","","593256"
