"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"12","Nashik","476085","466593","8915","577"
"13","Ahmednagar","379445","371676","7245","524"
"14","Jalgaon","150038","147223","2762","53"
"15","Nandurbar","46799","45796","963","40"
"16","Dhule","51217","50445","670","102"
"17","Aurangabad","178103","173530","4288","285"
"18","Jalna","67235","65916","1224","95"
"19","Beed","109515","106571","2885","59"
"20","Latur","105679","103016","2489","174"
"21","Parbhani","58684","57371","1279","34"
"22","Hingoli","22378","21808","515","55"
"23","Nanded","102972","100228","2704","40"
"24","Osmanabad","75938","73563","2139","236"
"25","Amravati","106585","104804","1625","156"
"26","Akola","66758","65195","1474","89"
"27","Washim","46983","46158","641","184"
"28","Buldhana","92731","91757","838","136"
"29","Yavatmal","82418","80501","1820","97"
"30","Nagpur","582430","571578","9215","1637"
"31","Wardha","66061","64560","1409","92"
"32","Bhandara","68858","67450","1142","266"
"33","Gondia","45644","44983","587","74"
"34","Chandrapur","99359","97658","1595","106"
"35","Gadchiroli","37237","36459","728","50"
