"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","14,714"
"2","Number of persons tested positive today in Tamil Nadu","1,845"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE-1"
"","Total","1,846"
"3","Total Number of persons tested positive till date","35,36,092"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","26,613/ 
6,79,81,507@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","25,871/ 
6,67,82,053"
"6","No. of Male / Female / Transgender tested positive today","1,082/764/0"
"7","No. of Male / Female / Transgender tested positive till date","20,61,593/14,74,461/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","345 (77 Govt+ 
268 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","2,225/ 
34,83,346"
"10","Total number of deaths today/ till date","0 (0 Private &  
0 Govt) /38,032"
