,Unnamed: 0,44,Unnamed: 1,क्रिरोजाबाद,Unnamed: 2,3,Unnamed: 3,0,Unnamed: 4,8586,Unnamed: 5,0.1,Unnamed: 6,135,Unnamed: 7,5,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,लमर्ापरु,,3.0,,0.0,,10973.0,,0.0,,116.0,,5.0,,,,,
1,,46,,उन्नाव,,0.0,,0.0,,14765.0,,0.0,,254.0,,5.0,,,,,
2,,47,,आजमगढ़,,1.0,,0.0,,17678.0,,0.0,,228.0,,4.0,,,,,
3,,48,,गाजीपरु,,0.0,,0.0,,21369.0,,0.0,,283.0,,4.0,,,,,
4,,49,,फर्रखाबाद,,0.0,,0.0,,10155.0,,0.0,,194.0,,3.0,,,,,
5,,50,,कुशीनगर,,2.0,,0.0,,15390.0,,0.0,,228.0,,3.0,,,,,
6,,51,,मनैपरुी,,1.0,,0.0,,9851.0,,0.0,,182.0,,3.0,,,,,
7,,52,,मऊ,,1.0,,0.0,,8253.0,,0.0,,80.0,,3.0,,,,,
8,,53,,हाथरस,,0.0,,0.0,,2877.0,,0.0,,43.0,,2.0,,,,,
9,,54,,कन्नौज,,0.0,,0.0,,9114.0,,0.0,,115.0,,2.0,,,,,
10,,55,,कौशाम्बी,,1.0,,0.0,,4356.0,,0.0,,70.0,,2.0,,,,,
11,,56,,लखीमपरु-खीरी,,2.0,,1.0,,24126.0,,0.0,,292.0,,2.0,,,,,
12,,57,,पीलीभीत,,0.0,,0.0,,10839.0,,0.0,,193.0,,2.0,,,,,
13,,58,,प्रतापगढ़,,1.0,,0.0,,15875.0,,0.0,,163.0,,2.0,,,,,
14,,59,,सीतापरु,,0.0,,0.0,,12214.0,,0.0,,185.0,,2.0,,,,,
15,,60,,इटावा,,0.0,,0.0,,13640.0,,0.0,,293.0,,1.0,,,,,
16,,61,,फतहेपरु,,0.0,,0.0,,6679.0,,0.0,,139.0,,1.0,,,,,
17,,62,,हमीरपरु,,0.0,,0.0,,5137.0,,0.0,,102.0,,1.0,,,,,
18,,63,,जालौन,,1.0,,0.0,,11489.0,,0.0,,202.0,,1.0,,,,,
19,,64,,कासगजं,,0.0,,0.0,,4197.0,,0.0,,53.0,,1.0,,,,,
20,,65,,लललतपरु,,0.0,,0.0,,12621.0,,0.0,,128.0,,1.0,,,,,
21,,66,,श्रावस्ती,,0.0,,0.0,,4353.0,,0.0,,35.0,,1.0,,,,,
22,,67,,अम्बडेकर नगर,,0.0,,0.0,,4888.0,,0.0,,152.0,,0.0,,,,,
23,,68,,बादा,,0.0,,0.0,,10832.0,,0.0,,161.0,,0.0,,,,,
24,,69,,भदोही,,0.0,,0.0,,7558.0,,0.0,,163.0,,0.0,,,,,
25,,70,,चचत्रकट,,0.0,,0.0,,7031.0,,0.0,,79.0,,0.0,,,,,
26,,71,,जौनपरु,,0.0,,0.0,,22350.0,,0.0,,235.0,,0.0,,,,,
27,,72,,महोबा,,0.0,,0.0,,4182.0,,0.0,,86.0,,0.0,,,,,
28,,73,,सतं कबीर नगर,,0.0,,0.0,,8064.0,,0.0,,98.0,,0.0,,,,,
29,,74,,लसद्धाथ नगर,,0.0,,0.0,,9275.0,,0.0,,100.0,,0.0,,,,,
30,,75,,सलु्तानपरु,,0.0,,0.0,,14780.0,,0.0,,138.0,,0.0,,,,,
31,,Total,,,,,,,572.0,,34.0,,1687930.0,,0.0,,22916.0,,2261.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 22916 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
