"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","9,349"
"2","Number of persons tested positive today in Tamil Nadu","789"
"3","Total Number of persons tested positive till date","27,16,421"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,03,202/ 
5,28,50,459@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,02,898/ 
5,19,21,870"
"6","No. of Male / Female / Transgender tested positive today","481/308/0"
"7","No. of Male / Female / Transgender tested positive till date","15,85,427/11,30,956/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","309 (69 Govt+ 
240$ Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","913/ 
26,70,761"
"10","Total number of deaths today/ till date","15(7 Private &  
8 Govt) /36,311)"
