"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","227851","221677","5886","288"
"12","Nashik","474786","465255","8914","617"
"13","Ahmednagar","378510","370925","7245","340"
"14","Jalgaon","149886","147055","2762","69"
"15","Nandurbar","46696","45705","963","28"
"16","Dhule","50998","50232","670","96"
"17","Aurangabad","177555","172889","4288","378"
"18","Jalna","66936","65342","1224","370"
"19","Beed","109348","106439","2885","24"
"20","Latur","105341","102720","2489","132"
"21","Parbhani","58637","57342","1279","16"
"22","Hingoli","22265","21716","514","35"
"23","Nanded","102848","100108","2704","36"
"24","Osmanabad","75541","73267","2139","135"
"25","Amravati","106268","104531","1625","112"
"26","Akola","66558","64961","1471","126"
"27","Washim","46541","45574","641","326"
"28","Buldhana","92365","91364","836","165"
"29","Yavatmal","82231","80326","1820","85"
"30","Nagpur","579328","569164","9215","949"
"31","Wardha","65865","64404","1408","53"
"32","Bhandara","68312","67058","1142","112"
"33","Gondia","45510","44912","587","11"
"34","Chandrapur","99147","97461","1592","94"
