"S.No","District","Cumulative 
Sample","Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Dischar
ged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","746901","123","49063","0","434","200","47797","832"
"2","ALWAR","1474703","86","83746","0","319","465","82416","1011"
"3","BANSWARA","289892","77","13974","0","106","0","13038","830"
"4","BARAN","210913","40","15008","0","63","102","14612","333"
"5","BARMER","389384","16","21336","1","199","57","20810","327"
"6","BHARATPUR","455006","54","31141","0","270","111","30467","404"
"7","BHILWARA","480153","71","37811","0","161","140","36787","863"
"8","BIKANER","689964","55","49302","2","578","132","48245","479"
"9","BUNDI","215919","14","9652","1","55","71","9459","138"
"10","CHITTORGARH","435786","38","29150","0","140","119","28883","127"
"11","CHURU","398475","44","20454","0","113","69","19917","424"
"12","DAUSA","264515","10","15661","0","75","28","15397","189"
"13","DHOLPUR","264576","33","13627","0","49","75","13359","219"
"14","DUNGARPUR","319794","32","25319","0","134","56","24764","421"
"15","GANGANAGAR","399067","83","27506","0","156","165","26047","1303"
"16","HANUMANGARH","465522","53","22180","0","114","0","21702","364"
"17","JAIPUR","3107429","735","268447","2","2098","939","259937","6412"
"18","JAISALMER","235864","36","16801","0","68","0","16262","471"
"19","JALORE","428684","0","10498","0","77","0","10369","52"
"20","JHALAWAR","349979","35","17420","0","203","52","16978","239"
"21","JHUNJHUNU","461348","69","18625","0","178","185","17852","595"
"22","JODHPUR","1335189","215","139569","2","1159","365","137133","1277"
"23","KARAULI","221380","30","8685","0","83","43","8453","149"
