"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1758027*","20748491*"
"2","Total No. of patients tested Positive","24020","784548"
"3","No. of patients discharged","23601","763875"
"4","Total Deaths reported","199","20504"
"5","Sample collected on the day","","6930"
"6","Test conducted on the day","","7130"
"7","Positive cases on the day","","28"
"8","Number of active Cases","","169"
"9","No. of Patients on oxygen support","","8"
"10","Patients at critical care Level-3 facilities","","2"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","3"
"13","Total Healthcare Workers vaccinated with 1st dose","","218882"
"14","Frontline Workers vaccinated with 1st dose on the day","","2"
"15","Total Frontline Workers vaccinated with 1st dose","","1117936"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","4"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211935"
"18","Frontline Workers vaccinated with 2nd dose on the day","","10"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019200"
"20","Above 45 Vaccinated with 1st dose on the day","","61"
"21","Total Above 45 Vaccinated with 1st dose","","8346348"
"22","Above 45 Vaccinated with 2nd dose on the day","","304"
"23","Total Above 45 Vaccinated with 2nd dose","","7650065"
"24","18-44 years age group Vaccinated with 1st dose on the day","","250"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12660046"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","800"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10690620"
"28","15-17 years age group Vaccinated with 1st dose on the day","","39"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1114116"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","237"
"31","Total 15-17 years age group Vaccinated with 2nddose","","860012"
"32","12-14 years age group Vaccinated with 1st dose on the day","","277"
"33","Total 12-14 years age group Vaccinated with 1st dose","","675511"
"34","12-14 years age group Vaccinated with 2nddose on the day","","739"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","479032"
"36","Precautionary dose given on the day","","4495"
"37","Total Precautionary dose given","","1749129"
"38","Total Vaccination 1st dose on the day","","316"
"39","Total Vaccination 2nd dose on the day","","1118"
"40","Total Vaccination 1st and 2nd dose on the day","","1434"
