"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","229"
"2","Number of persons tested positive today in Tamil Nadu","21"
"3","Total Number of persons tested positive till date","34,53,054"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","20,297/ 
6,57,98,524@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","20,287/ 
6,46,21,919"
"6","No. of Male / Female / Transgender tested positive today","9/12/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,256/14,37,760/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","335 (69 Govt+ 
266 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","29/ 
34,14,800"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
