"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","5","0","0","8","57"
"2","ALWAR","18","2","0","10","30"
"3","BANSWARA","1","0","0","0","0"
"4","BARAN","5","0","0","0","2"
"5","BARMER","33","0","0","0","0"
"6","BHARATPUR","27","0","0","0","1"
"7","BHILWARA","2","0","0","0","0"
"8","BIKANER","7","0","0","0","4"
"9","BUNDI","0","0","0","0","0"
"10","CHITTORGARH","0","0","0","0","4"
"11","CHURU","5","0","0","0","0"
"12","DAUSA","1","0","0","0","1"
"13","DHOLPUR","0","0","0","0","0"
"14","DUNGARPUR","1","0","0","0","0"
"15","GANGANAGAR","0","0","0","0","1"
"16","HANUMANGARH","5","1","0","0","2"
"17","JAIPUR","245","7","0","3","95"
"18","JAISALMER","1","0","0","0","0"
"19","JALORE","15","0","0","0","0"
"20","JHALAWAR","4","0","0","0","2"
"21","JHUNJHUNU","2","0","0","0","1"
"22","JODHPUR","51","2","0","2","49"
"23","KARAULI","1","0","0","0","3"
"24","KOTA","55","0","0","6","32"
"25","NAGAUR","0","0","0","0","4"
"26","PALI","0","0","0","0","18"
