"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23055","","5284","","28339",""
"2","Total Active Cases","34 
(0.15%)","","01 
(0.02%)","","35 
(0.12%)",""
"3","Total Cured/Discharged","22853 
(99.1%)","","5223 
(98.8%)","","28076 
(99.1%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","06","","00","","06",""
"6","Total Positive cases in Home Isolation","27","","01","","28",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","161","","20","","181",""
"10","No. of Samples Positive (Today)","05","","00","","05",""
"11","No. of Samples Negative (Today)","156","","20","","176",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","58 
23 
00 
00 
81"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(22/06/2022)","","Test Done Today 
(23/06/2022)","","Cumulative"
"","","a)RTPCR","325567","","114","","325681"
"","","b)TRUENAT","14279","","04","","14283"
"","","c)RAT","350159","","63","","350222"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","691110","","181","","691291"
