"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1677625","20668089"
"2","Total No. of patients tested Positive","23687","784215"
"3","No. of patients discharged","23103","763377"
"4","Total Deaths reported","192","20497"
"5","Sample collected on the day","","6526"
"6","Test conducted on the day","","6348"
"7","Positive cases on the day","","46"
"8","Number of active Cases","","341"
"9","No. of Patients on oxygen support","","15"
"10","Patients at critical care Level-3 facilities","","1"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218875"
"14","Frontline Workers vaccinated with 1st dose on the day","","2"
"15","Total Frontline Workers vaccinated with 1st dose","","1117918"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","1"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211908"
"18","Frontline Workers vaccinated with 2nd dose on the day","","8"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019100"
"20","Above 45 Vaccinated with 1st dose on the day","","31"
"21","Total Above 45 Vaccinated with 1st dose","","8345790"
"22","Above 45 Vaccinated with 2nd dose on the day","","204"
"23","Total Above 45 Vaccinated with 2nd dose","","7647439"
"24","18-44 years age group Vaccinated with 1st dose on the day","","130"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12657492"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","480"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10682565"
"28","15-17 years age group Vaccinated with 1st dose on the day","","56"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1113485"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","62"
"31","Total 15-17 years age group Vaccinated with 2nddose","","857853"
"32","12-14 years age group Vaccinated with 1st dose on the day","","43"
"33","Total 12-14 years age group Vaccinated with 1st dose","","672612"
"34","12-14 years age group Vaccinated with 2nddose on the day","","62"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","473082"
"36","Precautionary dose given on the day","","2306"
"37","Total Precautionary dose given","","1702347"
"38","Total Vaccination 1st dose on the day","","163"
"39","Total Vaccination 2nd dose on the day","","693"
"40","Total Vaccination 1st and 2nd dose on the day","","856"
