"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Dis
charged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","615177","2","37793","0","410","0","37362","21"
"2","ALWAR","1223252","2","59698","0","307","0","59388","3"
"3","BANSWARA","224577","0","10005","0","104","0","9901","0"
"4","BARAN","155860","0","11997","0","61","0","11935","1"
"5","BARMER","327432","0","15569","0","185","0","15379","5"
"6","BHARATPUR","381483","0","19601","0","260","0","19341","0"
"7","BHILWARA","386092","0","29782","0","156","1","29626","0"
"8","BIKANER","590499","0","40347","0","545","0","39802","0"
"9","BUNDI","172285","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","354542","0","19809","0","139","0","19670","0"
"11","CHURU","313693","0","16720","0","107","0","16613","0"
"12","DAUSA","206126","0","13351","0","62","0","13289","0"
"13","DHOLPUR","222415","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","245061","0","18407","0","131","0","18276","0"
"15","GANGANAGAR","328916","0","19355","0","150","0","19205","0"
"16","HANUMANGARH","368118","0","16053","0","111","0","15942","0"
"17","JAIPUR","2510539","3","187892","0","1971","2","185859","62"
"18","JAISALMER","203435","0","13639","0","66","0","13573","0"
"19","JALORE","371327","0","10067","0","72","0","9995","0"
"20","JHALAWAR","275987","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","365948","0","14811","0","158","0","14653","0"
"22","JODHPUR","1149808","0","112415","0","1103","0","111311","1"
"23","KARAULI","167641","0","7156","0","70","0","7086","0"
