"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","8,013"
"2","Number of persons tested positive today in Tamil Nadu","719"
"3","Total Number of persons tested positive till date","27,31,235"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,01,255/ 
5,48,85,228@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,01,009/ 
5,39,51,331"
"6","No. of Male / Female / Transgender tested positive today","429/290/0"
"7","No. of Male / Female / Transgender tested positive till date","15,94,201/11,36,996/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","315 (69 Govt+ 
246$ Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","737/ 
26,86,683"
"10","Total number of deaths today/ till date","10(3 Private &  
7 Govt) /36,539)"
