"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22049","","5099","","27148",""
"2","Total Active Cases","476 
(2.2%)","","220 
(4.3%)","","696 
(2.6%)",""
"3","Total Cured/ Discharged","21406 
(97.1%)","","4820                                  
(94.5%)","","(96.6%)",""
"4","Total Died","167 
(0.76%)","","59 
(1.2%)","","226 
(0.83%)",""
"5","Total Positive cases admitted in COVID 
Hospital","18","","3","","21",""
"6","Total Positive cases in Home Isolation","327","","216","","543",""
"7","COVID Care Centre","109","","01","","110",""
"8","Facility Isolation","22","","0","","22",""
"9","No. of Samples Tested (Today)","768","","564","","1332",""
"10","No. of Samples Positive (Today)","63","","23","","86",""
"11","No. of Samples Negative (Today)","703","","541","","1244",""
"12","Repeat Positive/ Resampling (Today)","02","","00","","02",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","667 
        00 
        00 
        56 
       723"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(08/01/2022)","","Test Done Today 
(09/02/2022)","","Cumulative"
"","","a)  RTPCR","284201","","1051","","285252"
"","","b)  TRUENAT","11876","","30","","11906"
"","","c)  RAT","344831","","166","","344997"
"","","d)  CBNAAT","470","","85","","555"
"","","TOTAL","641378","","1332","","642710"
