"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1611267*","20601731*"
"2","Total No. of patients tested Positive","23149","783677"
"3","No. of patients discharged","22323","762597"
"4","Total Deaths reported","179","20485"
"5","Sample collected on the day","","9811"
"6","Test conducted on the day","","9634"
"7","Positive cases on the day","","105"
"8","Number of active Cases","","595"
"9","No. of Patients on oxygen support","","26"
"10","Patients at critical care Level-3 facilities","","1"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218866"
"14","Frontline Workers vaccinated with 1st dose on the day","","1"
"15","Total Frontline Workers vaccinated with 1st dose","","1117890"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","5"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211863"
"18","Frontline Workers vaccinated with 2nd dose on the day","","15"
"19","Total Frontline Workers vaccinated with 2nd dose","","1018948"
"20","Above 45 Vaccinated with 1st dose on the day","","107"
"21","Total Above 45 Vaccinated with 1st dose","","8344928"
"22","Above 45 Vaccinated with 2nd dose on the day","","833"
"23","Total Above 45 Vaccinated with 2nd dose","","7642564"
"24","18-44 years age group Vaccinated with 1st dose on the day","","382"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12654383"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","2303"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10669537"
"28","15-17 years age group Vaccinated with 1st dose on the day","","114"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1111921"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","442"
"31","Total 15-17 years age group Vaccinated with 2nddose","","853216"
"32","12-14 years age group Vaccinated with 1st dose on the day","","367"
"33","Total 12-14 years age group Vaccinated with 1st dose","","667327"
"34","12-14 years age group Vaccinated with 2nddose on the day","","613"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","464779"
"36","Precautionary dose given on the day","","7354"
"37","Total Precautionary dose given","","1639194"
"38","Total Vaccination 1st dose on the day","","491"
"39","Total Vaccination 2nd dose on the day","","3156"
"40","Total Vaccination 1st and 2nd dose on the day","","3647"
