"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","17468","","3619","","21087",""
"2","Total Active Cases","126 
(0.72%)","","03 
(0.1%)","","129 
(0.61%)",""
"3","Total Cured/ Discharged","17191 
(98.4%)","","3558 
(98.3%)","","20749 
(98.4%)",""
"4","Total Died","151 
(0.86%)","","58 
(1.60%)","","209 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","19","","0","","19",""
"6","Total Positive cases in Home Isolation","107","","03","","110",""
"7","COVID Care Centre","00","","0","","00",""
"8","Facility Isolation","00","","0","","00",""
"9","No. of Samples Tested (Today)","360","","65","","425",""
"10","No. of Samples Positive (Today)","15","","00","","15",""
"11","No. of Samples Negative (Today)","345","","65","","410",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","87 
          40 
     00 
          09 
          136"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(09/11/2021)","","Test Done Today 
(10/11/2021)","","Cumulative"
"","","a)  RTPCR","217759","","334                   218093","",""
"","","b)  TRUENAT","10997","","06","","11003"
"","","c)  RAT","329227","","85","","329312"
"","","d)  CBNAAT","147","","0","","147"
"","","TOTAL","558130","","425","","558555"
