"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1741935","20732399"
"2","Total No. of patients tested Positive","23951","784479"
"3","No. of patients discharged","23481","763755"
"4","Total Deaths reported","196","20501"
"5","Sample collected on the day","","4706"
"6","Test conducted on the day","","4723"
"7","Positive cases on the day","","14"
"8","Number of active Cases","","223"
"9","No. of Patients on oxygen support","","6"
"10","Patients at critical care Level-3 facilities","","1"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218879"
"14","Frontline Workers vaccinated with 1st dose on the day","","0"
"15","Total Frontline Workers vaccinated with 1st dose","","1117929"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","3"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211928"
"18","Frontline Workers vaccinated with 2nd dose on the day","","0"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019167"
"20","Above 45 Vaccinated with 1st dose on the day","","8"
"21","Total Above 45 Vaccinated with 1st dose","","8346182"
"22","Above 45 Vaccinated with 2nd dose on the day","","15"
"23","Total Above 45 Vaccinated with 2nd dose","","7649274"
"24","18-44 years age group Vaccinated with 1st dose on the day","","39"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12659317"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","74"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10688261"
"28","15-17 years age group Vaccinated with 1st dose on the day","","1"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1113994"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","7"
"31","Total 15-17 years age group Vaccinated with 2nddose","","859399"
"32","12-14 years age group Vaccinated with 1st dose on the day","","4"
"33","Total 12-14 years age group Vaccinated with 1st dose","","674687"
"34","12-14 years age group Vaccinated with 2nddose on the day","","15"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","476989"
"36","Precautionary dose given on the day","","554"
"37","Total Precautionary dose given","","1736150"
"38","Total Vaccination 1st dose on the day","","47"
"39","Total Vaccination 2nd dose on the day","","92"
"40","Total Vaccination 1st and 2nd dose on the day","","139"
