"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22975","","5281","","28256",""
"2","Total Active Cases","06 
(0.03%)","","01 
(0.02%)","","07 
(0.02%)",""
"3","Total Cured/Discharged","22801 
(99.2%)","","5220 
(98.8%)","","28021 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","03","","0","","03",""
"6","Total Positive cases in Home Isolation","01","","01","","02",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","02","","00","","02",""
"9","No. of Samples Tested (Today)","114","","25","","139",""
"10","No. of Samples Positive (Today)","00","","00","","00",""
"11","No. of Samples Negative (Today)","114","","25","","139",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","47 
28 
22 
11 
108"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(15/05/2022)","","Test Done Today 
(16/05/2022)","","Cumulative"
"","","a)RTPCR","321140","","82","","321222"
"","","b)TRUENAT","13890","","10","","13900"
"","","c)RAT","348737","","47","","348784"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","684872","","139","","685011"
