"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22938","","5275","","28213",""
"2","Total Active Cases","26 
(0.11%)","","00 
(0%)","","26 
(0.1%)",""
"3","Total Cured/ Discharged","22744 
(99.2%)","","5215                                  
(98.9%)","","(99.1%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","04","","0","","04",""
"6","Total Positive cases in Home Isolation","15","","00","","15",""
"7","COVID Care Centre","07","","00","","07",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","290","","19","","309",""
"10","No. of Samples Positive (Today)","05","","00","","05",""
"11","No. of Samples Negative (Today)","285","","19","","304",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","290 
        00 
        00 
        03 
       293"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(21/03/2022)","","Test Done Today 
(22/03/2022)","","Cumulative"
"","","a)  RTPCR","313310","","264","","313574"
"","","b)  TRUENAT","12745","","26","","12771"
"","","c)  RAT","347321","","15","","347336"
"","","d)  CBNAAT","913","","04","","917"
"","","TOTAL","674289","","309","","674598"
