"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","247"
"2","Number of persons tested positive today in Tamil Nadu","26"
"3","Total Number of persons tested positive till date","34,53,011"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","21,635/ 
6,57,57,245@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","21,623/ 
6,45,80,661"
"6","No. of Male / Female / Transgender tested positive today","14/12/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,232/14,37,741/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","335 (69 Govt+ 
266 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","37/ 
34,14,739"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
