"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23022","","5283","","28305",""
"2","Total Active Cases","28 
(0.12%)","","02 
(0.04%)","","30 
(0.1%)",""
"3","Total Cured/Discharged","22826 
(99.14%)","","5221 
(98.8%)","","28047 
(99.1%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","02","","02","","04",""
"6","Total Positive cases in Home Isolation","26","","00","","26",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","162","","24","","186",""
"10","No. of Samples Positive (Today)","02","","00","","02",""
"11","No. of Samples Negative (Today)","160","","24","","184",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","68 
30 
07 
07 
112"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(15/06/2022)","","Test Done Today 
(16/06/2022)","","Cumulative"
"","","a)RTPCR","324558","","131","","324689"
"","","b)TRUENAT","14201","","08","","14209"
"","","c)RAT","349872","","47","","349919"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","689736","","186","","689922"
